date,ki_role,ki_role_other,ki_resident,ki_disp_status,ki_gender,region,district,settlement,settlement_nearest,settlement_other,site_name,locale,settlement_type,number_families,number_individuals,ki_keeps_record,males_0_1,females_0_1,males_1_4,females_1_4,males_5_17,females_5_17,males_18_59,females_18_59,males_60_over,females_60_over,children,adult_males,adult_females,elderly_males,elderly_females,pop_idps,pop_refugees,pop_returning_idps,pop_returning_refugees,pop_host,idps_arrived,site_full,site_wall,site_expand,site_pathway,site_occupied,site_occupied_majority,camp_management,camp_management_other,cm_agency,committees_onsite,women_representation,conflict_resolution,community_space,womens_space,landowner,landowner_other,private_landowner,private_landowner_other,tenure_agreement,agreement_level,agreement_written,agreement_timed,agreement_expires,recognised_by_authority,rent_charged,rent_charged_other,past_flood,past_flood_date,eviction_three_months,idp_aoo_primary,idp_primary_left,idp_primary_left_other,idp_aoo_secondary,idp_secondary_left,idp_secondary_left_other,idp_aoo_tertiary,idp_tertiary_left,idp_tertiary_left_other,unacc_minors,separated_children,female_hh,child_hh,phys_disabled,mental_disabled,vuln_hh_location,friction_host,friction_site,eviction_notice,cfs_onsite,security_concerns,security_risks,free_movt_men,free_movt_women,free_movt_boys,free_movt_girls,night_light,physical_violence,security_provider,uasc_month,child_recruitment,shelter_types,shelter_types_other,shelter_number,electricity,shelter_support,shelter_support_types,shelter_support_types_other,shelter_lock,shelter_sleeping_sep,nfi_market_avail,nfi_market_distance,nfi_market_safe,wood_collection,wood_distance,toilets_male,toilets_female,toilets_nondisag,bathing,toilets_male_func,toilets_female_func,toilets_nondisag_func,bathing_func,handwashing_toilets,toilets_lock,toilets_lit,toilets_dist,potable_water,potable_water_functioning,water_problems,damaged,dry,polluted,other33,water_problems_other,water_sources,water_sources_other,water_source_distance,water_avail_days,waste_disposal,food_distr,food_distr_freq,food_distr_last,food_market_avail,food_market_dist,food_source,health_avail,health_dist,female_staff,health_birth,impediments_women,types_impediments,types_impediments_other,impediments_othergroups,health_issues,health_issues_other,disease_outbreak,outbreak_last,outbreak_type,outbreak_other,school_avail,school_dist,school_type,school_type_other,nutrition_avail,nutrition_dist,nutrition_service,nutrition_service_other,info_sources,info_sources_other,info_needs,info_needs_other,info_sufficient,complaints_mechanism,primary_language,secondary_languages,geopoint_latitude,geopoint_longitude,n_validation/reliable_ki,n_validation/supported_obs
42991,gatekeeper, ,yes,idp,male,bay,baidoa,NA-3801-Y31-005, , ,Xaafit 2,urban,spontaneous_site,180,957,no, , , , , , , , , , ,297,219,352,32,57,200,60,0,0,0,60,yes,no,no,no,41281,41642,residents, , ,residents womens elder_meeting, ,committees community_leader,no,no,private, ,business, ,formal,community,written,yes,43739,no,no_rent, ,no, ,no,bakool,drought, ,lower_shabelle,conflict_other, ,bay,drought no_livelihoods, , , ,60, ,7,2,no,no,no,no,no,none, ,yes,yes,yes,yes,no,no,nat_police, ,no,buul,,260,no,no, , ,no,no,no, , ,yes,60,0,0,0,0, , , , , , ,no,no,no, , , , , , , , , ,120,7,daily,none, , ,no, ,market,no, , ,no, , , , ,malaria, ,yes,42376,cholera_awd, ,no, , , ,no, , , ,community_leader radio, ,food security contact_aid water shelter, ,no,no,somali_maay,somali_benaadir,3.142953767,43.6608012,yes,yes
42991,elder, ,yes,idp,male,bay,baidoa,NA-3802-X04-008, , ,ADC 3,peri_urban,spontaneous_site,281,750,no, , , , , , , , , , ,450,100,80,50,70,181,50,50,0,0,3,no,no,no,no,41279,42009,no_management, , ,residents,no,committees,no,no,private, ,business, ,formal,community,written,yes,44317,yes,no_rent, ,yes,42739,no,bay,drought, ,bakool,conflict_community drought, ,gedo,conflict_community drought, ,2,2,1, , , ,no,no,no,no,no,eviction, ,yes,yes,yes,yes,yes,no,nat_police,yes,no,buul,Buush,281,no,yes,emergency, ,no,no,no, , ,no, ,0,0,30,30, , ,30,30,yes,no,no,yes,yes,yes, , , , , , ,unprotected_well, ,30,3,weekly,none, , ,no, ,market,no, , ,no, , , , ,cholera_awd, ,yes,42739,cholera_awd, ,yes,10,quranic, ,no, , , ,friends_family radio, ,missing_persons, ,no,yes,somali_maay,somali_standard,3.09834,43.63630667,yes,yes
42990,gatekeeper, ,yes,idp,male,bay,baidoa,NA-3802-W04-003, , ,Waabari,urban,spontaneous_site,110,574,no, , , , , , , , , , ,123,73,341,23,14,60,50,0,0,0,30,yes,no,no,no,42738,42739,local_authority, , ,residents womens, ,committees,no,no,private, ,host, ,formal,community,written,no, ,yes,no_rent, ,no, ,no,bakool,drought, ,gedo,drought no_livelihoods, ,bay,drought no_livelihoods, , , ,3, , , ,no,no,no,no,no,none, ,yes,yes,yes,yes,no,no,nat_police, ,no,buul,,130,no,no, , ,no,no,yes,10,yes,yes,30,0,0,6,0, , ,6, ,no,yes,no,no,no, , , , , , , , , ,30,7,daily,none, , ,yes,10,market,no, , ,no, , , , ,malaria, ,no,42739,malaria, ,no, , , ,no, , , ,aid_worker radio, ,food water shelter market_prices, ,no,yes,somali_maay,none,3.141121021,43.66495913,yes,yes
42991,elder, ,yes,idp,male,bay,baidoa,NA-3802-X04-008, , ,ADC 1,peri_urban,planned_site,254,314,no, , , , , , , , , , ,71,127,75,28,13,140,50,50,0,14,6,yes,yes,yes,yes,41279,41279,no_management, , ,residents,no,committees,yes,yes,private, ,business, ,formal,community,written,yes,44440,yes,no_rent, ,no, ,no,bay,drought, ,bakool,conflict_community drought, ,gedo,conflict_community no_livelihoods, ,2,20,30, ,2,3,no,no,no,no,no,conflict_police, ,yes,yes,yes,yes,yes,yes,clan,yes,yes,buul,Buush,254,no,no, , ,no,yes,yes,30,no,yes,40,0,0,15,15, , ,0,15,yes,yes,no,no,no, , , , , , , , , ,30,3,never,inkind,monthly,42991,yes,30,market,no, ,no,no,no, , , ,cholera_awd, ,no,42740,cholera_awd, ,no, , , ,no, , , ,friends_family radio, ,missing_persons, ,no,no,somali_maay,somali_standard,3.09841,43.63903667,no,no
42992,gatekeeper, ,yes,idp,male,bay,baidoa,NA-3802-X04-010, , ,Jubadda dhexe,peri_urban,planned_site,80,170,no, , , , , , , , , , ,100,10,20,30,10,30,50,0,0,0,3,no,no,no,no,42381,42381,no_management, , ,residents,no,committees,yes,yes,none, , , , , , , , ,no,no_rent, ,no, ,no,bay,drought, ,bakool,conflict_community drought, , , , ,5,10,50, , , ,no,no,no,no,no,eviction, ,yes,yes,yes,yes,no,no,clan,yes,no,buul,Buush,80,no,no, , ,no,no,no, , ,no, ,0,0,8,8, , ,8,8,yes,yes,no,no,no, , , , , , , , , ,10,6,daily,inkind,monthly,42992,no, ,market,no, , ,no, , , , ,cholera_awd, ,yes,42740,cholera_awd, ,no, , , ,no, , , ,radio, ,missing_persons, ,no,no,somali_maay,somali_standard,3.089663333,43.63311667,yes,yes
42990,gatekeeper, ,yes,idp,male,bay,baidoa,NA-3802-W04-003, , ,Saman-jecel,urban,spontaneous_site,110,320,no, , , , , , , , , , ,50,25,30,6,2,70,40,0,0,0,15,yes,no,yes,no,42370,42522,residents, , ,residents womens, ,committees community_leader,no,no,private, ,host, ,formal,community,written,no, ,yes,no_rent, ,no, ,no,bay,drought, ,bakool,no_livelihoods, ,gedo,drought, , , ,9, ,2, ,no,no,no,no,yes,none, ,yes,yes,yes,yes,no,no,nat_police, ,no,buul wattle_daub,,110,no,yes,nfis, ,yes,no,yes,5,yes,yes,30,0,0,4,0, , ,0, ,no,yes,no,no,no, , , , , , , , , ,20,7,daily,none, , ,yes,10,market,no, ,,no, , , , ,cholera_awd malaria, ,yes,42461,cholera_awd, ,yes,15,primary, ,no, , , ,community_leader radio, ,food water shelter, ,no,yes,somali_maay,somali_benaadir,3.140483536,43.66560713,yes,yes
42990,elder, ,yes,idp,male,bay,baidoa,NA-3801-Y31-006, , ,Waaberi 2,urban,planned_site,150,1200,no, , , , , , , , , , ,370,220,330,80,200,100,40,0,10,0,15,yes,no,yes,yes,41283,42375,no_management, , ,residents womens elder_meeting, ,committees elders,no,no,private, ,host, ,none, , , , ,no,no_rent, ,no, ,no,bay,drought, ,bakool,conflict_other drought, ,gedo,drought, ,5,20,15,5,7, ,no,no,no,no,no,none, ,yes,yes,yes,yes,no,no,nat_police,yes,no,buul,,150,no,no, , ,no,no,no, , ,yes,180,0,0,0,0, , , , , , ,no,no,no, , , , , , , , , ,120,7,never,none, , ,no, ,household,no, , ,no, , , , ,cholera_awd malaria, ,yes,42739,cholera_awd, ,no, , , ,no, , , ,friends_family religious_leader radio, ,food health water shelter, ,no,no,somali_maay,somali_standard,3.13729054,43.66300881,yes,yes
42990,gatekeeper, ,yes,idp,male,bay,baidoa,NA-3802-X04-018, , ,Siigo dheri 2,peri_urban,spontaneous_site,215,435,yes,200,100,35,50,8,6,4,8,9,15, , , , , ,25,40,8,12,69,61,yes,yes,yes,no,42742,42742,no_management, , ,residents,yes,community_leader,yes,no,private, ,business, ,formal,community,written,yes,46266,yes,no_rent, ,no, ,no,bay,drought no_livelihoods, ,bakool,conflict_community drought, ,gedo,conflict_community conflict_other drought, , ,7,9, ,1,2,yes,no,no,no,no,none, ,yes,yes,yes,yes,no,no,nat_police,yes,yes,other_block,Biush caadi ah,215,no,no, , ,no,no,yes,30,yes,yes,40,0,0,0,0, , , , , , ,no,no,no, , , , , , , , , ,40,3,never,meals,daily,42979,no, ,market,no, , ,no, , , , ,cholera_awd polio, ,yes,42744,cholera_awd, ,no, , , ,no, , , ,friends_family, ,missing_persons, ,yes,yes,somali_maay,somali_standard,3.114846667,43.63017667,yes,yes
42990,gatekeeper, ,yes,idp,male,bay,baidoa,NA-3802-X04-018, , ,Barwaaqo 2,peri_urban,spontaneous_site,245,518,yes,40,70,0,60,40,40,70,30,60,108, , , , , ,40,35,60,70,40,50,yes,yes,yes,yes,40913,40913,no_management, , ,residents,yes,committees,yes,yes,private, ,business, ,formal,community,written,yes,44287,yes,no_rent, ,yes,42376,no,bay,drought, ,bakool,conflict_community drought, ,gedo,drought, ,9,4,37,13,8,7,no,no,no,no,no,none, ,yes,yes,yes,yes,yes,yes,clan,yes,yes,buul,Laamiyeri,120,no,yes,emergency, ,yes,yes,yes,30,yes,yes,40,3,0,0,3,0, , ,3,yes,yes,no,yes,yes,yes, , , , , , ,kiosk, ,29,4,weekly,inkind,twice_daily,42987,yes,40,market,no, ,no,no,no, , , ,cholera_awd, ,yes,42379,cholera_awd, ,no, , , ,yes,50,sc, ,friends_family, ,missing_persons, ,no,no,somali_maay,bravanese,3.118193333,43.63276667,yes,yes
42990,community_leader, ,yes,idp,male,bay,baidoa,NA-3802-W04-003, , ,Daboolow,urban,planned_site,110,770,no, , , , , , , , , , ,300,170,200,40,60,52,30,18,10,0,12,yes,no,yes,no,42737,42741,no_management, , ,womens elder_meeting, ,committees,no,no,private, ,host, ,formal,community,written,yes,45901,yes,no_rent, ,no, ,no,bay,drought, ,bakool,conflict_other drought, ,mudug,forced_eviction, ,4,6,7, ,3, ,no,no,no,no,no,none, ,yes,yes,yes,yes,yes,no,clan,no,no,buul,,110,no,no, , ,no,no,no, , ,no, ,2,16,0,0,2,2, , ,no,yes,no,no,no, , , , , , , , , ,25,2,never,none, , ,no, ,borrowing,no, , ,no, , , , ,malaria, ,yes,42738,cholera_awd, ,no, , , ,no, , , ,friends_family radio, ,food health water shelter, ,no,no,somali_maay,none,3.137757206,43.66344465,yes,yes
42990,gatekeeper, ,yes,idp,male,bay,baidoa,NA-3802-X04-003, , ,Wadajir 3,urban,spontaneous_site,99,280,no, , , , , , , , , , ,30,15,30,15,7,60,30,0,0,0,13,yes,no,yes,yes,39814,42371,ingo, ,Consern,elder_meeting,yes,community_leader,yes,no,private, ,host, ,none, , , , ,yes,no_rent, ,no, ,no,bay,drought, ,bakool,drought no_livelihoods no_services, ,gedo,drought, , , ,15, ,5, ,no,no,no,no,yes,none, ,yes,yes,yes,yes,no,no,nat_police, ,no,buul,,100,no,no, , ,no,no,yes,10,yes,yes,30,0,0,12,0, , ,12, ,no,yes,no,no,no, , , , , , , , , ,35,6,weekly,inkind,less_frequent,42967,yes,5,market,no, , ,no, , , , ,malaria, ,yes,42374,cholera_awd, ,yes,10,primary, ,no, , , ,radio, ,food water shelter, ,yes,yes,somali_maay,somali_benaadir,3.141684998,43.66624131,yes,yes
42990,gatekeeper, ,yes,idp,male,bay,baidoa,NA-3802-X04-018, , ,Alle suge 2,peri_urban,spontaneous_site,248,772,no,,,,,,,,,,,327,213,187,14,31,8,30,40,10,46,15,yes,yes,yes,yes,42736,42736,no_management, , ,residents,yes,committees,yes,no,private, ,business, ,formal,community,written,yes,43070,yes,no_rent, ,no, ,no,bay,drought, ,bakool,conflict_community drought, ,gedo,conflict_community, , ,40,40,6,5, ,yes,no,no,no,no,none, ,no,no,no,no,no,no,nat_army,no,no,other_block,Teendho,108,no,yes,permanent, ,no,no,yes,50,yes,yes,40,0,0,0,0, , , , , , ,no,no,no, , , , , , , , , ,90,4,never,inkind,monthly,42985,yes,90,market,no, , ,no, , , , ,none, ,no,42744,cholera_awd, ,no, , , ,no, , , ,radio, ,missing_persons, ,yes,yes,somali_maay,none,3.116613333,43.630695,yes,yes
42990,gatekeeper, ,yes,idp,male,bay,baidoa,NA-3802-X04-018, , ,Hanano 1,peri_urban,planned_site,260,1040,no,,,,,,,,,,,352,287,314,35,52,30,30,50,50,0,14,yes,yes,yes,yes,41646,41646,no_management, , ,residents,yes,committees,yes,no,private, ,business, ,formal,community,written,yes,44682,yes,no_rent, ,yes,42372,yes,bay,drought, ,bakool,conflict_community drought, ,gedo,conflict_community, ,2,3, , , , ,yes,yes,yes,yes,no,eviction, ,yes,yes,yes,yes,yes,yes,clan,yes,no,buul,Laami yeri,125,no,no, , ,no,no,no, , ,no, ,0,0,0,0, , , , , , ,no,no,yes,yes, , , , , , ,kiosk, ,60,4,weekly,cash,twice_daily,42988,yes,30,market,no, ,no,yes,yes,too_away, , ,cholera_awd, ,yes,42738,cholera_awd, ,yes,10,quranic, ,yes,40,sc, ,friends_family, ,missing_persons, ,yes,yes,somali_maay,none,3.118285,43.641585,yes,yes
42991,gatekeeper, ,no,idp,male,bay,baidoa,NA-3802-X04-018, , ,Muuri,urban,spontaneous_site,100,643,no, , , , , , , , , , ,170,124,302,17,30,40,30,20,10,0,5,no,no,no,no,42744,42744,community_leader, , ,residents,no,elders,no,no,private, ,clan, ,none, , , , ,no,no_rent, ,no, ,no,bay,floods drought no_livelihoods, ,bakool,floods drought no_livelihoods, ,gedo,drought no_livelihoods no_services, ,1, , , ,1, ,no,no,no,no,no,none, ,yes,yes,yes,yes,no,no,none,no,no,buul timber_plastic,,100,no,no, , ,no,no,no, , ,yes,16,1,1,0,0,1,1, , ,yes,yes,no,no,no, , , , , , , , , ,14,6,weekly,cash,weekly,42991,no, ,market,no, , ,no, , , , ,malaria, ,no,42744,malaria, ,no, , , ,no, , , ,friends_family tv radio, ,food water, ,no,no,somali_maay,somali_benaadir,3.134449259,43.63657194,yes,yes
42991,community_leader, ,yes,idp,male,bay,baidoa,NA-3802-X04-003, , ,Tahriib diid,urban,planned_site,150,1050,no, , , , , , , , , , ,288,350,400,5,7,100,25,10,10,5,10,yes,no,yes,no,42737,42742,no_management, , ,womens elder_meeting, ,community_leader elders,no,no,private, ,host, ,formal,community,written,no, ,no,no_rent, ,no, ,no,bakool,conflict_other drought, ,bay,drought, ,lower_juba,drought, ,2,2,5,2,4, ,yes,no,no,no,no,none, ,yes,yes,yes,yes,yes,no,nat_police,no,no,buul,,150,no,no, , ,no,no,no, , ,no, ,0,0,3,0, , ,3, ,no,no,no,no,no, , , , , , , , , ,120,4,never,none, , ,no, ,household,no, , ,no, , , , ,malaria, ,yes,42738,cholera_awd, ,no, , , ,no, , , ,friends_family religious_leader radio, ,food health water shelter, ,no,no,somali_maay,none,3.137797946,43.66230863,yes,yes
