flag,csv_field,alias,type,category,choices,traffic_light,chart,chart_details
0,landowner_other,Other landowner,string,Camp_Management,,,,
0,private_landowner,Landowner,string,Camp_Management,private_landowner,,,
0,private_landowner_other,Other type,string,Camp_Management,,,,
0,tenure_agreement,Land tenure agreement,string,Camp_Management,tenure_agreement,,,
0,agreement_level,Agreement level,string,Camp_Management,agreement_level,,,
0,agreement_written,Written or formal agreement,string,Camp_Management,agreement_written,,,
0,agreement_timed,Agreement timeframe,string,Camp_Management,yes_no,,,
0,agreement_expires,Agreement expiration,date,Camp_Management,,,,
0,recognised_by_authority,Land tenure recognized,string,Camp_Management,yes_no_dnk,,,
0,rent_charged,Rent,list,Camp_Management,rent,,,
0,rent_charged_other,Other rent form,string,Camp_Management,,,,
0,past_flood,Floods past,string,Camp_Management,yes_no_dnk,nogreen,,
0,past_flood_date,Last flood,date,Camp_Management,,,,
0,eviction_three_months,Evictions in the last 3 months,string,Camp_Management,yes_no,yesgreen,,
0,idp_aoo_primary,Primary region of origin,string,Displacement,region,,,
0,idp_primary_left,Primary reason for leaving,list,Displacement,reason_left,,,
0,idp_primary_left_other,Other reason ,string,Displacement,,,,
0,idp_aoo_secondary,Secondary region of origin,string,Displacement,region,,,
0,idp_secondary_left,Secondary reason for leaving,list,Displacement,reason_left,,,
0,idp_secondary_left_other,Other reason ,string,Displacement,,,,
0,idp_aoo_tertiary,Tertiary region of origin,string,Displacement,region,,,
0,idp_tertiary_left,Tertiary reason for leaving,list,Displacement,reason_left,,,
0,idp_tertiary_left_other,Other reason ,string,Displacement,,,,
0,unacc_minors,Unaccompanied minors,integer,Protection,,,,
0,separated_children,Separated children,integer,Protection,,,,
0,female_hh,Women headed families,integer,Protection,,,,
0,child_hh,Child headed families,integer,Protection,,,,
0,phys_disabled,Persons with physical disabilities,integer,Protection,,,,
0,mental_disabled,Persons with mental disabilities,integer,Protection,,,,
0,vuln_hh_location,Areas with worse conditions,string,Protection,yes_no,,,
0,friction_host,Frictions between IDPs and host community,string,Protection,yes_no,nogreen,,
0,friction_site,Frictions within the site,string,Protection,yes_no,nogreen,,
0,eviction_notice,Risk of eviction (next 3 months),string,Protection,yes_no,,,
0,cfs_onsite,Child friendly services,string,Protection,yes_no,yesgreen,,
0,security_concerns,Safety concerns,list,Protection,security_concerns,,,
0,security_risks,Security and safety risks,list,Protection,security_risks,,,
0,free_movt_men,Men freedom movements,string,Protection,yes_no,yesgreen,,
0,free_movt_wommen,Women freedom movements,string,Protection,,yesgreen,,
0,free_movt_boys,Boys freedom movements,string,Protection,yes_no,yesgreen,,
0,free_movt_girls,Girls freedom movements,string,Protection,yes_no,yesgreen,,
0,night_light,Public lighting,string,Protection,yes_no,,,
0,physical_violence,Reports of physical violence (last 3 months),string,Protection,yes_no,,,
0,security_provider,Main security provider,string,Protection,security,,,
0,uasc_month,UASC arrival in the past month,string,Protection,yes_no,nogreen,,
0,child_recruitment,Recruitment of children into armed groups,string,Protection,yes_no,nogreen,,
0,shelter_types,Shelter types,list,Shelter,shelter_types,,,
0,shelter_types_other,Other type,string,Shelter,,,,
0,shelter_number,Individual shelters,integer,Shelter,,,,
0,electricity,Electricity,string,Shelter,yes_no,yesgreen,,
0,shelter_support,Shelter support from agencies,string,Shelter,yes_no,yesgreen,,
0,shelter_support_types,Type of support,list,Shelter,shelter_support_types,,,
0,shelter_support_types_other,Other support,string,Shelter,,,,
0,shelter_lock,Locking shelters,string,Shelter,yes_no,yesgreen,,
0,shelter_sleeping_sep,Private sleeping areas,string,Shelter,yes_no,yesgreen,,
0,nfi_market_avail,Access to NFI market,string,Shelter,yes_no,yesgreen,,
0,nfi_market_distance,Nearest NFI market (min/walk),integer,Shelter,,distance,,
0,nfi_market_safe,Safe access to NFI market,string,Shelter,yes_no,yesgreen,,
0,wood_collection,Firewood collection,string,Shelter,yes_no,,,
0,wood_distance,Distance in minutes’ walk,integer,Shelter,,distance,,
0,toilets_male,Men toilets,integer,WASH,,,,
0,toilets_female,Women toilets,integer,WASH,,,,
0,toilets_nondisag,Non-gendered toilets,integer,WASH,,,,
0,bathing,Bathing facilities,integer,WASH,,,,
0,toilets_male_func,Men toilets functioning,integer,WASH,,,,
0,toilets_female_func,Women toilets functioning,integer,WASH,,,,
0,toilets_nondisag_func,Non-gendered toilets functioning,integer,WASH,,,,
0,bathing_func,Bathing facilities functioning,integer,WASH,,,,
0,handwashing_toilets,Handwashing facilities in toilets,string,WASH,yes_no,yesgreen,,
0,toilets_lock,Toilets locks,string,WASH,yes_no,yesgreen,,
0,toilets_lit,Latrines and bathing facilities well lit,string,WASH,yes_no,,,
0,toilets_dist,Latrines isolated,string,WASH,yes_no,nogreen,,
0,potable_water,Potable water source,string,WASH,yes_no,yesgreen,,
0,potable_water_functioning,Water source functioning,string,WASH,yes_no,yesgreen,,
0,water_problems,Water source not functioning,list,WASH,water_problems,,,
0,water_problems_other,Other problem,string,WASH,,,,
0,water_sources,Available water sources,list,WASH,water_types,,,
0,water_sources_other,Other water sources,string,WASH,,,,
0,water_source_distance,Distance nearest water source (min/walk),integer,WASH,,distanceWater,,
0,water_avail_days,Days available water last week,integer,WASH,,waterDays,,
0,waste_disposal,Frequency solid waste disposal,string,WASH,waste_disposal,wasteDisposal,,
0,food_distr,Food distributed,list,Food_Security,food_distr,,,
0,food_distr_freq,Frequency food distributed,string,Food_Security,food_distr_freq,foodDist,,
0,food_distr_last,Last food distribution,date,Food_Security,,,,
0,food_market_avail,Market,string,Food_Security,yes_no,yesgreen,,
0,food_market_dist,Nearest food market (min/walk),integer,Food_Security,,distance,,
1,food_market_safe,Safe access to food market,string,Food_Security,yes_no,yesgreen,,
0,food_source,Primary source of food for most people,string,Food_Security,food_source,,,
0,health_avail,Health facility availability,string,Health,yes_no,yesgreen,,
0,health_dist,Nearest health facility (min/walk),integer,Health,,distance,,
0,female_staff,Female staff presence at health facilities,string,Health,yes_no_dnk,yesgreen,,
0,health_birth,Giving birth at the site,string,Health,yes_no,nogreen,,
0,impediments_women,Impediments to accessing healthcare for women,string,Health,yes_no_dnk,nogreen,,
0,types_impediments,Impediments types,list,Health,health_access_probs,,,
0,types_impediments_other,Other impediments,string,Health,,,,
0,impediments_othergroups,Impediments to accessing healthcare for groups,string,Health,yes_no_dnk,nogreen,,
0,health_issues,Primary health issues,list,Health,health_issues,,,
0,health_issues_other,Other health issue,string,Health,,,,
0,disease_outbreak,Disease outbreak,string,Health,yes_no,nogreen,,
0,outbreak_last,Last disease outbreak,date,Health,,,,
0,outbreak_type,Last disease outbreak type ,string,Health,diseases,,,
0,outbreak_other,Other disease,string,Health,,,,
0,school_avail,Open school accessible to children from the site,string,Education,yes_no,yesgreen,,
0,school_dist,Closest school (min/walk),integer,Education,,distance,,
0,school_type,School types accessible to IDPs,list,Education,school_type,,,
0,school_type_other,Other school type,string,Education,,,,
0,nutrition_avail,Nutrition services access,string,Nutrition,yes_no_dnk,yesgreen,,
0,nutrition_dist,Nearest nutrition service (min/walk),integer,Nutrition,,distance,,
0,nutrition_service,Types of nutrition services available,list,Nutrition,nutrition_service,,,
0,nutrition_service_other,Other nutrition services,string,Nutrition,,,,
0,info_sources,Top 3 most trusted sources of information,list,Communication,info_sources,,,
0,info_sources_other,Other information sources,string,Communication,,,,
0,info_needs,Information lack,list,Communication,info_needs,,,
0,info_needs_other,Other information need,string,Communication,,,,
0,info_sufficient,Sufficient information on humanitarian services,string,Communication,yes_no,yesgreen,,
0,complaints_mechanism,Access to a feedback or complaints mechanism,string,Communication,yes_no,yesgreen,,
0,primary_language,Most common language spoken at the site,string,Communication,languages,,,
0,secondary_languages,Other languages spoken at the site,list,Communication,languages,,,
0,n_validation/reliable_ki,Questions answered sincerely,string,Validation,yes_no,,,
0,n_validation/supported_obs,Visual observation confirming assessment,string,Validation,yes_no,,,
